Firefighters: Airport Fire Rescue,TBA,Simulation,,CDN$49.99 (~$38),58
Fire Fighters: The Simulation,TBA,Simulation,,TBA,125
Flashback,"June 7th. 2018 (NA)
June 19th. 2018 (PAL)",Action-Adventure,NA. PAL,$39.99,64
Flinthook,LRG,Action Platformer,NA,$29.99,39
Flipping Death,18-Aug,Adventure,NA. PAL,$29.99,84
Fortnite,TBA,Survival/BattleRoyale,,TBA,110
Furi,LRG,Shoot 'em up,NA,$29.99,12
Gal Gun 2,"April 24th. 2018 (NA)
April 13th. 2018 (PAL)
March 15th. 2018 (JP)",Rail Shooter,,$59.99,101
Gal Metal,"Q4 2018 (NA & PAL)
February 8th. 2018 (JP)",Rhythm,,$39.99,123
Gear Club Unlimited,"November 21st. 2017 (NA)
December 1st. 2017 (PAL)
December 14th. 2017 (JP)",Racing,,$39.99,68
Gear Club Unlimited 2,December 4th. 2018,Racing,,$49.99,144
Gem Smashers,November 2nd. 2018,Puzzle,PAL,$22.99,115
Giana Sisters: Twisted Dreams Owltimate Edition,September 25th. 2018,Puzzle-Platformer,,$29.99,81
Ginger: Beyond the Crystal,TBA,Platformer,,TBA,115
Go Vacation,July 27th. 2018,Sports,NA. PAL,$49.99,39
God Wars: The Complete Legend,"Q4 2018 (NA & PAL)
June 14th. 2018 (JP)",Tactical RPG,,$39.99,117
Golf Story,LRG,Adventure,NA,$29.99,109
Gone Home,Q1 2019,Adventure,,$34.99,15
Goosebumps: The Game,October 9th. 2018,Action,,$29.99,59
Gotouchi Tetsudou,February 22nd. 2018,Board Game,JP,$44.99,97
Grave Danger,October 19th. 2018,Platformer,,$22.99,92
GRIP: Combat Racing,November 6th. 2018,Racing,,$39.99,65
Guardians of the Galaxy: The Telltale Series,TBA,Adventure,,TBA,107
Hakuoki Shinkai Fuukaden,September 6th. 2018,Visual Novel,JP,6.800ù (~$61),148
Happy Birthdays,"June 5th. 2018 (NA)
June 8th. 2018 (PAL)
March 29th. 2018 (JP)",Life Simulation,,$39.99,18
Harvest Moon: Light of Hope,"May 29th. 2018 (NA)
June 28th. 2018 (PAL)",Simulation,NA. PAL,$39.99,37
Has-Been Heroes (Orange Case),"March 28th. 2017 (NA)
April 4th. 2017 (PAL)
August 31st. 2017 (JP)",Strategy,,$19.99,61
Has-Been Heroes (Purple Case),,,,,93
Hasbro Family Game Night,October 30th. 2018,Party,,60,86
Hello Kitty Kruisers,"April 24th. 2018 (NA)
April 26th. 2018 (PAL)",Racing,NA. PAL,$29. 99,114
Hello Neighbor,July 27th. 2018,Stealth,NA. PAL,$39. 99,138
Hello Neighbor: Hide and Seek,December 7th. 2018,Stealth,,40,102
Higurashi When They Cry Hou,July 26th. 2018,Visual Novel,JP,7.980ù (~$72),12
Hollow Knight,TBA,Platformer,,TBA,35
Hotel Transylvania 3: Monsters Overboard,"July 10th. 2018 (NA)
July 13th. 2018 (PAL)",Action,NA. PAL,$39.99,130
Human: Fall Flat,SRG,Puzzle,PAL,$34.99,75
Hunting Simulator,July 10th. 2018,Simulation,,$39.99,44
Hyrule Warriors: Definitive Edition,"March 18th. 2018 (NA & PAL)
March 22nd. 2018 (JP)",Hack & Slash,,$59.99,107
I Am Setsuna,March 3rd. 2017,RPG,JP,$47.99,101
Inazuma Eleven: Ares No Tenbin,TBA,???,JP,TBA,43
Indivisible,2019,RPG,,TBA,127
Island Flight Simulator,January 25th. 2018,Simulation,PAL,???,113
Ittle Dew 2+,November 14th. 2017,RPG,NA. PAL,$29.99,12
Jake Hunter Detective Story: Prism of Eyes,TBA,Visual Novel,JP,TBA,41
Just Dance 2017,March 3rd. 2017,Rhythm,NA. PAL,$59.99,46
Just Dance 2018,"October 24th. 2017 (NA)
October 27th. 2017 (PAL)",Rhythm,NA. PAL,$59.99,92
Just Dance 2019,October 23rd. 2018,Rhythm,NA. PAL,$59.99,31
Kamen Rider Climax Scramble,TBA,Action,JP,$59.99,12
Katamari Damacy Reroll,December 7th. 2018,Action-Adventure,,$29.99,59
Kirby Star Allies,March 16th. 2018,Platformer,,$59.99,20
Kingdom New Lands,LRG,Adventure,NA,$29.99,63
Kunio-Kun World Classics Collection,TBA,Compilation,JP,TBA,106
L.A. Noire,"November 14th. 2017 (NA & PAL)
December 7th. 2017 (JP)",Action-Adventure,,$49.99,146
La-Mulana 2,TBA,Platformer,JP,TBA,54
Labrynth of Refrain: Coven of Dusk,"September 18th. 2018 (NA)
September 21st. 2018 (PAL)
September 27th. 2018 (JP)",RPG,,$49.99,100
Langrisser I & II Remake,February 7th. 2019,Tactical RPG,JP,TBA,17
Layers of Fear,LRG,Psychological Horror,NA,$39.99,129
Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy DX,August 9th. 2018,Puzzle,JP,TBA,105
Legend of Kay,May 29th. 2018,Action-Adventure,NA. PAL,$29.99,25
Legend of Zelda: Breath of the Wild,March 3rd. 2017,Action-Adventure,,$59.99,135
Legendary Fishing,September 18th. 2018,Sports,,$29.99,60
Lego: City Undercover,"April 4th. 2017 (NA)
April 7th. 2017 (PAL)
June 29th. 2017 (JP)",Action-Adventure,,$29.99,27
Lego: DC Supervillains,October 16th. 2018,Racing,NA. PAL,$59.99,61
Lego: Harry Potter Collection,October 30th. 2018,Action-Adventure,,$49.99,34
Lego: Marvel Super Heroes 2,"November 14th. 2017 (NA)
December 1st. 2017 (PAL)
February 1st. 2018 (JP)",Action-Adventure,,$39.99,144
Lego: Ninjago,"September 22nd. 2017 (NA)
October 20th. 2017 (PAL)
October 19th. 2017 (JP)",Action-Adventure,,$39.99,80
Lego: Worlds,"September 5th. 2017 (NA)
September 8th. 2017 (PAL)
November 22nd. 2017 (JP)",Sandbox,,$39.99,51
Lego: The Incredibles,"June 15th. 2018 (NA)
July 13th. 2018 (PAL)
August 2nd. 2018 (JP)",Action-Adventure,,$59.99,70
Let's Sing 2018,November 23rd. 2017,Party,PAL,?54.99 (~$65),140
Liar Princess and the Blind Prince,"2019 (NA)
May 31st. 2018 (JP)",Action-Adventure,,TBA,20
Little Dragons Cafe,August 24th. 2018,Simulation,,$59.99,13
Little Nightmares: Complete Edition,May 18th. 2018,Survival Horror,PAL,$36.99,35
Lost Sphear,"January 23rd. 2018 (NA & PAL)
October 12th. 2017 (JP)",RPG,,$49.99,73
Lovers in a Dangerous Spacetime,SRG,Adventure,PAL,$34.99,146
Luigi's Mansion 3,2019,Action-Adventure,,$59.99,149
Lumo,"November 20th. 2017 (NA)
November 16th. 2017 (PAL & JP)",Action-Adventure,,$29.99,136
Mantis Burn Racing,TBA,Racing,JP,TBA,148
Mario + Rabbids Kingdom Battle,"August 29th. 2017 (NA & PAL)
January 18th. 2018 (JP)",Tactical RPG,,$59.99,43
Mario Kart 8 Deluxe,April 28th. 2017,Racing,,$59.99,97
Mario Tennis Aces,Juneò22nd. 2018,Sports,,$59.99,132
Max and the Curse of the Brotherhood,"December 21st. 2017 (NA & PAL)
April 26th. 2018 (JP)",Platformer,,$29.99,49
Mega Man 11,October 2nd. 2018,Platformer,,$29.99,136
Mega Man Legacy Collection 1 & 2,"May 22nd. 2018 (NA & PAL)
May 24th. 2018 (JP)",Platformer,,$39.99,25
Mega Man X Legacy Collection 1 & 2,July 24th. 2018,Platformer,,$39.99,144
Mega Man X Legacy Collection,July 26th. 2018,Platformer,JP,3.564ù (~$32),54
Mega Man X Legacy Collection 2,July 26th. 2018,Platformer,JP,3.564ù (~$32),51
Mercenaries Saga Chronicles,September 11th. 2018,Tactical RPG,,$39.99,21
Mercenary Kings,LRG,Action,NA,$29.99,28
Metroid Prime 4,TBA,Action-Adventure,,$59.99,93
Minecraft,June 21st. 2018ò,Sandbox,,$29.99,144
Minecraft Story Mode: The Complete Adventure,"August 22nd. 2017 (NA)
August 25th. 2017 (PAL)",Adventure,NA. PAL,$39.99,98
Minecraft Story Mode: Season Two,TBA,Adventure,,$39.99,73
Minna de WaiWai! Spelunker,April 20th. 2017,Action,JP,$49.99,16
Monopoly,"October 31st. 2017 (NA & PAL)
November 9th. 2017 (JP)",Board Game,,$39.99,111
Monster Boy and the Cursed Kingdom,February 13th. 2018,Platformer,,$39.99,66
Monster Energy Supercross,"February 13th. 2018 (NA & PAL)
March 22nd. 2018 (JP)",Racing,,$49.99,19
Monster Hunter Generations Ultimate,"August 28th. 2018 (NA & PAL)
August 25th. 2017 (JP)",Action RPG,,$59.99,108
Monster Jam Crush It!,October 31st. 2017,Racing,NA. PAL,$39.99,40
Moonlighter,2018,Action RPG,NA. PAL,$34.99,78
MotoGP 18,June 28th. 2018,Racing,PAL,$44.99,114
Moto Racer 4,October 19th. 2018,Racing,,$28.99,29
Musou Orochi 2 Ultimate,November 9th. 2017,Hack & Slash,JP,???,76
Musynx (Purple Cover),June 21st. 2018,Rhythm,NA,$39.99,119
Musynx (Pink Cover),,,,,79
Mutant Football League: Dynasty Edition,September 18th. 2018,Sports,,$29.99,28
Mutant Mudds Collection,SRG,Platformer,PAL,$34.99,118
MXGP3,November 21st. 2017,Racing,NA. PAL,$29.99,63
My Hero: One's Justice,"October 2018 (NA & PAL)
August 23rd. 2018 (JP)",Fighting,,$59.99,10
N.E.R.O.: Nothing Ever Remains Obscure,Octoberò26th. 2018,Adventure,,$29.99,38
Namco Museum Arcade Pac,September 28th. 2018,Compilation,NA. PAL,$39.99,33
Naruto Ultimate Ninja Storm Trilogy,April 26th. 2018,Fighting,JP,$64.99,79
NBA 2K Playgrounds 2,November 9th. 2018,Sports,,$29.99,117
NBA 2k18,Seotember 15th. 2017,Sports,,$39.99,22
NBA 2k18 Legend Edition,September 15th. 2017,Sports,,$69.99,64
NBA 2k18 Legend Edition Gold,September 15th. 2017,Sports,,$89.99,14
NBA 2k19,"September 7th. 2018 (NA & PAL)
September 11th. 2018 (JP)",Sports,,$59.99,73
NBA 2k19 20th Anniversary Edition,"September 7th. 2018 (NA & PAL)
September 11th. 2018 (JP)",Sports,,$99.99,101
Neko-Tomo,November 1st. 2018,Simulation,JP,$54.99,129
Nelke & The Legendary Alchemists: Ateliers of the New World,"Q4 2018 (NA & PAL)
TBA (JP)",Simulation,,$59.99,93
NeoAtlas 1469,April 19th. 2018,Simulation,JP,$54.99,101
Netherworld *Possible Physical*,TBA,,,TBA,29
New Super Mario Bros. U Deluxe,January 11th. 2019,Platformer,,$59.99,110
Nickelodeon Kart Racers,October 23rd. 2018,Racing,,$39.99,41
Night Trap,LRG,FMV Adventure,NA,$29.99,112
Nights of Azure 2: Bride of the New Moon,"October 24th. 2017 (NA)
October 27th. 2017 (PAL)
August 31st. 2017 (JP)",Action,,$59.99,113
Nightshade,December 20th. 2018,Visual Novel,JP,$51.99,104
Nil Admirari no Tenbin Irodori Nadeshiko,18-Sep,Visual Novel,JP,$58.99,35
Nintendo Labo Toy-Con 01,"April 20th. 2018 (NA & JP)
April 27th. 2018 (PAL)",Construction,,$69.99,75
Nintendo Labo Toy-Con 02,"April 20th. 2018 (NA & JP)
April 27th. 2018 (PAL)",Construction,,$76.99,29
Nintendo Labo Toy-Con 03,September 4th. 2018,Construction,,$69.99,136
No More Heroes: Travis Strikes Again,TBA,Action,,$59.99,107
Nobunaga Ambition: Sphere of Influence,March 3rd. 2017,Turn-Based Strategy,JP,$94.99,75
Nobunaga Ambition: Taishi,November 30th. 2017,Turn-Based Strategy,JP,???,133
NORN9 LOFN,18-Sep,Visual Novel,JP,$63.99,58
Oceanhorn: Monster of Uncharted Seas,LRG,Action-Adventure,NA,$29.99,110
Octopath Traveler,July 13th. 2018,RPG,,$59.99,74
OK K.O.! Let's Play Heroes,TBA,Action-Adventure,,TBA,20
Okami HD,August 9th. 2018,Action-Adventure,JP,~$30,32
One Piece: Pirate Warriors 3 Deluxe Edition,May 11th. 2018,Action-Adventure,PAL,$54.99,136
One Piece: Unlimited World Red Deluxe Edition,September 29th. 2017,Action-Adventure,PAL,$59.99,127
Onimusha: Warlords Remaster,January 15th. 2019,Action-Adventure,JP,3.769?(~$34),45
Overcooked,"July 27th. 2017 (NA & PAL)
October 12th. 2017 (JP)",Simulation,,$39.99,111
Overcooked 2,"August 7th. 2018 (NA & JP)
August 6th. 2018 (PAL)",Simulation,,$39.99,44
Owlboy,February 13th. 2018,Platformer,,$29.99,61
Oxenfree,LRG,Adventure,NA,$34.99,49
Party Arcade,October 16th. 2018,Arcade,,$29.99,148
Party Planet,"December 12th. 2017 (NA)
March 8th. 2018 (PAL)",Party,NA. PAL,$29.99,145
PAW Patrol On a Roll,18-Oct,???,,$35.99,46
Payday 2,"February 27th. 2018 (NA)
February 23rd. 2018 (PAL)",FPS,,$49.99,22
Penguin Wars,"August 31st. 2018 (NA & PAL)
September 21st. 2017 (JP)",Action,,$29.99,148
Penny Punching Princess,"April 3rd. 2018 (NA)
March 30th. 2018 (PAL)",Fighting,NA. PAL,$39.99,122
Pillars of Eternity II: Deadfire,2018,RPG,,$59.99,49
Pineview Drive,???,,,???,86
PixARK,Fall 2018,Survival,,$39.99,91
Pixel Junk Monsters 2,LRG,Tower Defense,NA,$39.99,96
Poi: Explorer Edition,"October 24th. 2017 (NA)
November 24th. 2017 (PAL)",Platformer,NA. PAL,$29.99,112
Pokemon: Let's Go Eevee!,November 16th. 2018,RPG,,$59.99,64
Pokemon: Let's Go Pikachu!,November 16th. 2018,RPG,,$59.99,45
Pokken Tournament DX,September 22nd. 2017,Fighting,,$59.99,73
Portal Knights,"November 23rd. 2017 (NA & PAL)
April 19th. 2018 (JP)",Action-Adventure,,$29.99,96
PriPara: All Idol Perfect Stage!,March 22nd. 2018,Rhythm,JP,$55.99,23
Pro Yakyuu Famista Evolution,August 2nd. 2018,Sports,JP,$58.99,85
Professional Farmer American Dream,TBA,Simulation,,$49.99,16
Professional Construction: The Simulation,TBA,SImulation,,TBA,66
Project Highrise: Architect's Edition,October 23rd. 2018,Simulation,,$39.99,124
Psikyo Collection Vol. 1,September 21st. 2018,Misc,JP,$34.99,10
Psikyo Collection Vol. 2,November 28th. 2018,Misc,JP,$34.99,14
Psyvariar Delta,"Summer 2018 (NA & PAL)
August 30th. 2018 (JP)",Shoot 'em up,,$29.99,51
Puyo Puyo Tetris,"April 25th. 2017 (NA)
April 27th. 2017 (PAL)
March 3rd. 2017 (JP)",Puzzle,,$29.99,121
R.B.I Baseball 2017,September 5th. 2017,Sports,NA. PAL,$29.99,85
R.B.I. Baseball 2018,"June 14th. 2018 (NA & JP)
June 21st. 2018 (PAL)",Sports,,$29.99,11
Rabi Laby: Puzzle Out Stories,May 24th. 2018,Puzzle,JP,$54.99,95
Rapala Pro Series,October 16th. 2018,Sports,,$29.99,136
Rayman Legends Definitive Edition,"September 12th. 2017 (NA & PAL)
February 22nd. 2018 (JP)",Platformer,,$39.99,41
Realms of Arcania: Blades of Destiny,TBA,RPG,,$29.99,50
Redout,TBA,Racing,,TBA,126
RemiLore: Lost Girl in the Lands of Lore,TBA,Hack & Slash,,$39.99,84
Resident Evil Revelations Collection,"November 28th. 2017 (NA & PAL)
November 30th. 2017 (JP)",Survival Horror,,$39.99,20
Retro City Rampage DX,August 3rd. 2017,Action-Adventure,NA. PAL,$29.99,113
RICO,January 29th. 2019,FPS,,$29.99,123
Riding Stables: My Life,October 30th. 2018,Simulation,,$29.99,129
RIME,"November 14th. 2017 (NA)
November 17th. 2017 (PAL)
November 16th. 2017 (JP)",Adventure,,$39.99,46
Riot: Civil Unrest,2018,Strategy,,$29.99,128
Rocket League Collector?s Edition,November 14th. 2017,Sports,,$39.99,70
Rollercoaster Tycoon,December 7th. 2018,Simulation,,$37.99,144
RPG Maker MV,TBA,RPG,,TBA,136
Runbow Deluxe,July 3rd. 2018,Platformer,NA. PAL,$29.99,119
Runner 3,May 22nd. 2018,Platformer,,$39.99,11
RXN -Raijin-,PlayAsia Exclusive,Shoot 'em up,JP,$39.99,77
SaGa Scarlet Grace,August 2nd. 2018,RPG,JP,$55.99,47
Salt and Sanctuary: Drowned Tome Edition,October 30th. 2018,Action RPG,,$29.99,122
Samurai Warriors: Spirit of Sanada,November 9th. 2017,Hack & Slash,JP,$64.99,43
San Goku Shi 13 with Power-Up Kit,March 30th. 2017,Turn-Based RPG,JP,???,14
Sangoku Rensenki: Otome no Heihou!,TBA,Visual Novel,JP,TBA,147
Saturday Morning RPG,LRG,RPG,NA,$29.99,67
Schlag den Star: Das Spiel,September 29th. 2017,Party,PAL,?36.27 (~$43),91
Scribblenauts Mega Pack,September 18th. 2018,Adventure,,,53
Scribblenauts Showdown,"March 6th. 2018 (NA)
March 9th. 2018 (PAL)",Party,NA. PAL,$39.99,115
SD Gundam G Generation Genesis,April 26th. 2018,Turn-Based Strategy,JP,$62.99,108
Sega Genesis Classics,December 31st. 2018,Arcade,,$29.99,110
Seiken Densetsu Collection,June 1st. 2017,RPG,JP,$49.99,51
Shakedown Hawaii,Q1 2019,Action-Adventure,NA. PAL,TBA,101
Shantae: Half Genie Hero,June 8th. 2018,Action,NA. PAL,$39.99,109
Shaq Fu: A Legend Reborn,June 5th. 2018,Fighting,NA. PAL,$29.99,18
Shelter Generations,SRG,Survival,PAL,$34.99,124
Shiin,June 28th. 2018,Survival Horror,JP,$46.99,50
Shikhondo: Soul Eater,PlayAsia Exclusive,Shoot 'em up,JP,$24.99,114
Shin Megami Tensei V,TBA,RPG,,TBA,147
Shin Sangoku Musou 7 Empires,November 9th. 2017,Beat 'em up,JP,$79.99,90
Shining Resonance Refrain,"July 10th. 2018 (NA & PAL)
July 12th. 2018 (JP)",RPG,,$49.99,105
Shovel Knight: Treasure Trove,April 9th. 2019,Platformer,,$39.99,49
Sine Mora EX,"September 26th. 2017 (NA)
October 10th. 2017 (PAL)",Shoot 'em up,NA. PAL,$29.99,112
Ski Racing 2018,TBA,Sports,,$29.99,144
Skullgirls 2nd Encore,TBA,Fighting,,TBA,71
Skylanders: Imaginators,March 3rd. 2017,Action-Adventure,NA. PAL,$39.99,144
Slain: Back From Hell,"December 7th. 2017 (NA & PAL)
March 1st. 2018 (JP)",Platformer,,$29.99,29
Slime-San,LRG,Platformer,NA,$29.99,77
